LatO,LongO,LatD,LongD
40.764572,-73.973122,40.718826,-73.995216
40.765202,-73.983932,40.75909,-73.935043
40.745861,-73.988136,40.696602,-73.983429
40.738869,-74,40.689049,-73.963226
40.743782,-73.979446,40.714939,-73.990105
40.729877,-73.999344,40.689922,-73.951523
40.752445,-73.985977,40.769974,-73.92765
40.74192,-74.003693,40.708904,-74.016876
40.71703,-73.997887,40.676819,-73.969299
40.758705,-73.98822,40.720013,-73.988495
40.740414,-73.990135,40.739662,-74.002235
40.689785,-73.981148,40.695843,-73.925201
40.748749,-73.987556,40.759762,-73.996033
40.760635,-73.976913,40.791161,-73.947647
40.730457,-74.00428,40.764614,-73.993553
40.718231,-73.98835,40.69001,-73.906975
40.764713,-73.981491,40.815273,-73.959969
40.763279,-73.985649,40.77795,-73.945679
40.767197,-73.921951,40.760864,-73.962906
40.719925,-73.984467,40.693848,-73.926018
40.766388,-73.996933,40.74015,-74.005707
40.769871,-73.924156,40.745033,-73.975868
40.766323,-73.995628,40.739906,-74.006027
40.702023,-73.915627,40.733295,-73.958176
40.769039,-73.954979,40.745491,-73.924141
40.796989,-73.969803,40.833252,-73.914291
40.707298,-73.954117,40.701698,-73.906441
40.757622,-73.985435,40.721691,-73.997543
40.717049,-73.995209,40.753521,-73.964729
40.741882,-73.977936,40.772446,-73.954552
40.645409,-73.776703,40.668709,-73.755074
40.721458,-73.958366,40.684803,-73.949913
40.722469,-73.993462,40.754608,-73.998878
40.761074,-73.986839,40.72224,-73.97821
40.76458,-73.966026,40.745419,-73.990921
40.770737,-73.957047,40.770199,-73.912003
40.738258,-74.0065,40.75708,-73.963898
40.742275,-74.006332,40.712498,-73.997078
40.759796,-73.921684,40.756512,-73.967224
40.742992,-74.003815,40.721516,-73.983978
40.757469,-73.985252,40.786388,-73.942322
40.766396,-73.996895,40.738789,-74.000107
40.757969,-73.989304,40.744099,-73.922272
40.742271,-74.004311,40.742352,-73.979767
40.770321,-73.957321,40.750332,-73.991318
40.759418,-73.988136,40.742886,-73.917938
40.731609,-74.000999,40.700771,-73.929893
40.711082,-74.009995,40.759617,-73.995834
40.72163,-73.980682,40.755901,-73.991371
40.733463,-74.002869,40.696594,-73.984947
40.744049,-74.00666,40.72303,-73.989532
40.794498,-73.971817,40.818512,-73.952591
40.746868,-73.989944,40.763309,-73.933418
40.768867,-73.958069,40.769608,-73.989372
40.770775,-73.956932,40.770973,-73.908348
40.761211,-73.979813,40.73093,-73.985527
40.71917,-73.993156,40.740829,-74.000473
40.749779,-73.987709,40.778214,-73.955101
40.730911,-73.988899,40.77248,-73.950539
40.75185,-73.994278,40.759731,-73.966751
40.762085,-73.963417,40.715973,-73.995117
40.763531,-73.992546,40.781384,-73.952217
40.730995,-74.001389,40.775547,-73.953934
40.742916,-73.982132,40.693188,-73.952133
40.741444,-74.005005,40.765854,-73.990845
